"language","language_glottolog","id","name","latitude","longitude","family_id","family_name"
"Greek, Modern ","Modern Greek","mode1248","Modern Greek",38.36,23.13,"indo1319","Indo-European"
"Czech ","Czech","czec1258","Czech",49.873398,15.10437,"indo1319","Indo-European"
"Tok Pisin ","Tok Pisin","tokp1240","Tok Pisin",-9.41971,147.303,"indo1319","Indo-European"
"Malagasy ","Plateau Malagasy","plat1254","Plateau Malagasy",-19.5907,47.1211,"aust1307","Austronesian"
"Tzotzil, Zinacantán ","Tzotzil, Zinacantán","tzot1264","Tzotzil, Zinacantán",16.64,-92.74,"book1242","Bookkeeping"
"Parecís ","Parecís","pare1272","Parecís",-14.5929,-57.4059,"araw1281","Arawakan"
"Gidar ","Gidar","gida1247","Gidar",9.874715,14.07845,"afro1255","Afro-Asiatic"
"Munukutuba ","Kituba","kitu1246","Kituba (Democratic Republic of Congo)",-2.29601,17.1548,"atla1278","Atlantic-Congo"
"Guaraní ","Paraguayan Guaran�","para1311","Paraguayan Guaraní",-25.60551,-57.08816,"tupi1275","Tupian"
"Nicobarese, Car ","Car Nicobarese","carn1240","Car Nicobarese",9.18853,92.7671,"aust1305","Austroasiatic"
"Nobiin ","Nobiin","nobi1240","Nobiin",22.8142,31.8376,"nubi1251","Nubian"
"Somali ","Somali","soma1255","Somali",4.778704,45.152856,"afro1255","Afro-Asiatic"
"Tamil ","Tamil","tami1289","Tamil",10.520219,78.825989,"drav1251","Dravidian"
"Miya ","Miya","miya1266","Miya",10.9234,9.71505,"afro1255","Afro-Asiatic"
"Fulfulde, Adamawa ","Adamawa Fulfulde","adam1253","Adamawa Fulfulde",8.140326,13.077338,"atla1278","Atlantic-Congo"
"Welsh ","Welsh","wels1247","Welsh",52,-4,"indo1319","Indo-European"
"Polish ","Polish","poli1260","Polish",51.8439,18.6255,"indo1319","Indo-European"
"Malayalam ","Malayalam","mala1464","Malayalam",9.59208,76.7651,"drav1251","Dravidian"
"Dime ","Dime","dime1235","Dime",6.20951,36.3329,"sout2845","South Omotic"
"Maltese ","Maltese","malt1254","Maltese",35.8884,14.4508,"afro1255","Afro-Asiatic"
"Afar ","Afar","afar1241","Afar",12.2281,41.8083,"afro1255","Afro-Asiatic"
"Italian ","Italian","ital1282","Italian",43.0464,12.6489,"indo1319","Indo-European"
"English ","English","stan1293","English",53,-1,"indo1319","Indo-European"
"Ò̩ko̩ ","Oko-Eni-Osayen","okoe1238","Oko-Eni-Osayen",7.53908,6.15725,"atla1278","Atlantic-Congo"
